image,niveau
levle1_145.jpg,1
levle2_22.jpg,2
levle2_97.jpg,2
levle0_74.jpg,0
levle0_203.jpg,0
levle1_131.jpg,1
levle3_80.jpg,3
levle3_45.jpg,3
levle1_197.jpg,1
levle2_146.jpg,2
levle0_244.jpg,0
levle0_41.jpg,0
levle1_128.jpg,1
levle1_282.jpg,1
levle1_525.jpg,1
levle2_73.jpg,2
levle0_137.jpg,0
levle1_545.jpg,1
levle1_149.jpg,1
levle1_464.jpg,1
levle1_43.jpg,1
levle1_627.jpg,1
levle2_47.jpg,2
levle0_236.jpg,0
levle1_546.jpg,1
levle1_239.jpg,1
levle1_522.jpg,1
levle1_450.jpg,1
levle0_395.jpg,0
levle0_259.jpg,0
levle0_188.jpg,0
levle0_367.jpg,0
levle0_486.jpg,0
levle1_348.jpg,1
levle3_73.jpg,3
levle0_285.jpg,0
levle1_281.jpg,1
levle3_67.jpg,3
levle0_166.jpg,0
levle2_28.jpg,2
levle1_597.jpg,1
levle1_268.jpg,1
levle1_243.jpg,1
levle0_239.jpg,0
levle2_111.jpg,2
levle0_448.jpg,0
levle1_324.jpg,1
levle1_298.jpg,1
levle1_65.jpg,1
levle0_4.jpg,0
levle0_242.jpg,0
levle0_142.jpg,0
levle0_20.jpg,0
levle3_74.jpg,3
levle0_39.jpg,0
levle1_207.jpg,1
levle1_607.jpg,1
levle2_130.jpg,2
levle1_168.jpg,1
levle2_189.jpg,2
levle2_131.jpg,2
levle1_165.jpg,1
levle0_139.jpg,0
levle1_276.jpg,1
levle1_328.jpg,1
levle1_217.jpg,1
levle0_88.jpg,0
levle1_604.jpg,1
levle0_277.jpg,0
levle1_594.jpg,1
levle2_8.jpg,2
levle1_49.jpg,1
levle2_128.jpg,1
levle1_534.jpg,1
levle0_209.jpg,0
levle0_67.jpg,0
levle1_183.jpg,1
levle0_531.jpg,0
levle0_193.jpg,0
levle1_40.jpg,1
levle0_484.jpg,0
levle0_194.jpg,0
levle1_394.jpg,1
levle1_56.jpg,1
levle0_179.jpg,0
levle0_287.jpg,0
levle1_642.jpg,1
levle2_39.jpg,2
levle1_626.jpg,1
levle0_491.jpg,0
levle2_13.jpg,2
levle2_159.jpg,2
levle2_31.jpg,2
levle0_475.jpg,0
levle1_30.jpg,2
levle0_501.jpg,0
levle0_243.jpg,0
levle1_265.jpg,1
levle1_350.jpg,1
levle1_78.jpg,1
levle0_290.jpg,0
levle1_275.jpg,1
levle0_131.jpg,0
levle1_543.jpg,1
levle1_364.jpg,1
levle0_315.jpg,0
levle0_226.jpg,0
levle0_52.jpg,0
levle0_442.jpg,0
levle1_289.jpg,1
levle0_241.jpg,0
levle1_568.jpg,1
levle0_257.jpg,0
levle3_145.jpg,3
levle1_267.jpg,1
levle2_136.jpg,2
levle1_402.jpg,0
levle2_15.jpg,2
levle1_632.jpg,1
levle1_220.jpg,1
levle1_75.jpg,1
levle3_84.jpg,3
levle1_126.jpg,1
levle1_26.jpg,1
levle1_160.jpg,1
levle0_252.jpg,0
levle0_378.jpg,0
levle2_109.jpg,2
levle2_183.jpg,2
levle0_488.jpg,0
levle0_196.jpg,0
levle0_363.jpg,0
levle1_15.jpg,1
levle1_332.jpg,1
levle1_313.jpg,1
levle1_136.jpg,1
levle1_304.jpg,1
levle2_142.jpg,2
levle1_435.jpg,1
levle1_586.jpg,1
levle1_111.jpg,1
levle2_49.jpg,2
levle1_48.jpg,1
levle0_343.jpg,0
levle1_567.jpg,1
levle1_331.jpg,1
levle0_421.jpg,0
levle1_39.jpg,1
levle0_337.jpg,0
levle0_207.jpg,0
levle0_394.jpg,0
levle0_350.jpg,0
levle2_186.jpg,2
levle0_94.jpg,0
levle0_374.jpg,0
levle1_505.jpg,1
levle1_261.jpg,1
levle3_86.jpg,3
levle0_177.jpg,0
levle1_113.jpg,1
levle0_225.jpg,0
levle2_149.jpg,2
levle1_415.jpg,1
levle1_533.jpg,1
levle1_97.jpg,1
levle0_505.jpg,0
levle1_37.jpg,1
levle0_96.jpg,0
levle0_411.jpg,0
levle0_273.jpg,0
levle1_555.jpg,1
levle0_530.jpg,0
levle1_612.jpg,1
levle2_6.jpg,2
levle1_242.jpg,1
levle1_349.jpg,1
levle0_366.jpg,0
levle3_93.jpg,3
levle1_601.jpg,1
levle0_175.jpg,0
levle0_432.jpg,0
levle0_313.jpg,0
levle1_171.jpg,1
levle1_98.jpg,1
levle0_429.jpg,0
levle1_579.jpg,1
levle0_46.jpg,0
levle1_62.jpg,1
levle0_68.jpg,0
levle1_619.jpg,1
levle0_457.jpg,0
levle1_11.jpg,1
levle0_396.jpg,0
levle1_406.jpg,1
levle1_225.jpg,1
levle2_121.jpg,2
levle0_104.jpg,0
levle1_129.jpg,1
levle1_274.jpg,1
levle0_415.jpg,0
levle1_100.jpg,1
levle1_559.jpg,0
levle2_35.jpg,2
levle1_172.jpg,1
levle1_255.jpg,1
levle0_19.jpg,0
levle0_440.jpg,0
levle1_322.jpg,1
levle1_138.jpg,1
levle0_148.jpg,0
levle0_186.jpg,0
levle1_420.jpg,1
levle2_1.jpg,2
levle1_187.jpg,1
levle0_190.jpg,0
levle1_553.jpg,1
levle0_316.jpg,0
levle0_403.jpg,0
levle0_496.jpg,0
levle1_60.jpg,1
levle1_517.jpg,1
levle1_552.jpg,1
levle0_312.jpg,0
levle1_377.jpg,1
levle1_83.jpg,1
levle1_351.jpg,1
levle1_436.jpg,1
levle1_6.jpg,1
levle1_284.jpg,1
levle0_64.jpg,0
levle1_249.jpg,1
levle1_163.jpg,1
levle0_185.jpg,0
levle1_558.jpg,1
levle0_462.jpg,0
levle0_174.jpg,0
levle0_309.jpg,0
levle1_269.jpg,1
levle1_432.jpg,1
levle1_383.jpg,1
levle1_115.jpg,1
levle0_110.jpg,0
levle1_417.jpg,1
levle2_81.jpg,2
levle1_150.jpg,1
levle1_8.jpg,1
levle0_125.jpg,0
levle1_308.jpg,1
